"";"Gene";"Prot";"CorrValue"
"27650";"g.LRIG1";"p.GO:0007165";0,617341833766879
"25181";"g.SLC43A3";"p.GO:0000122";-0,615528083620752
"5801";"g.SLC43A3";"p.CDK1";0,615466697008521
"27630";"g.FUT8";"p.GO:0007165";0,615349734551848
"7337";"g.ASF1B";"p.CCNB1";0,614749346247014
"7853";"g.SLC43A3";"p.CCNE1";0,614082983538459
"14592";"g.GO:0046777";"p.CDH3";0,612901722331184
"8993";"g.SLC43A3";"p.ESR1";-0,612710019037756
"8986";"g.CSRP2";"p.ESR1";-0,612647063221399
"31070";"g.LRIG1";"p.GO:0045944";0,611289011344117
"8954";"g.LRIG1";"p.ESR1";0,611248418702153
"31235";"g.GO:0045944";"p.GO:0045944";-0,610172739595106
"7397";"g.SLC43A3";"p.CCNB1";0,609907782133484
"7776";"g.ASPM";"p.CCNE1";0,60970711758505
"4366";"g.ZNF552";"p.BECN1";-0,609608540916412
"9119";"g.GO:0045944";"p.ESR1";-0,609251568399991
"26564";"g.FMNL2";"p.GO:0006366";-0,608796172136798
"25196";"g.FMNL2";"p.GO:0000122";-0,608745984743186
"14389";"g.KDM4B";"p.CDH3";-0,608363065183133
"5865";"g.PREX1";"p.CDK1";-0,60792329390071
"6156";"g.GO:0046777";"p.CASP7";0,607897607493368
"2500";"g.GO:0018108";"p.ASNS";0,607255877162176
"31102";"g.CSRP2";"p.GO:0045944";-0,60699692152487
"5724";"g.ASPM";"p.CDK1";0,606790256259931
"1621";"g.KDM4B";"p.ANLN";-0,606597740825455
"27684";"g.LYN";"p.GO:0007165";-0,606495169438288
"1630";"g.ZNF552";"p.ANLN";-0,606303951295949
"8965";"g.STC2";"p.ESR1";0,606240880790008
"5725";"g.KDM4B";"p.CDK1";-0,606031137939744
"15529";"g.KDM4B";"p.PRKCA";-0,60539763856086
"7980";"g.GO:0046777";"p.CCNE1";0,605293485129379
"27746";"g.NCOA7";"p.GO:0007165";-0,603401652849987
"31081";"g.STC2";"p.GO:0045944";0,603023613455716
"27682";"g.CSRP2";"p.GO:0007165";-0,602289352221368
"25308";"g.GO:0046777";"p.GO:0000122";-0,601021745832302
"7786";"g.ZNF552";"p.CCNE1";-0,600816589451197
"2507";"g.GO:0045944";"p.ASNS";0,599729795327748
"25183";"g.TTC39A";"p.GO:0000122";0,598861508774114
"15766";"g.ZNF552";"p.PRKCD";-0,597883125972744
"23062";"g.ZNF552";"p.EEF2";-0,597787973728382
"5927";"g.GO:0045944";"p.CDK1";0,597736875422751
"5816";"g.FMNL2";"p.CDK1";0,59718132836085
"7469";"g.MEX3A";"p.CCNB1";0,596681369828802
"5803";"g.TTC39A";"p.CDK1";-0,595913723083256
"24532";"g.CCNA2";"p.TP53";0,595509554718222
"2408";"g.E2F1";"p.ASNS";0,5952754033124
"4560";"g.GO:0046777";"p.BECN1";0,594992838431383
"31069";"g.C4orf34";"p.GO:0045944";0,594387645934687
"2383";"g.TTC39A";"p.ASNS";-0,593763709223687
"14398";"g.ZNF552";"p.CDH3";-0,592499722177551
"23053";"g.KDM4B";"p.EEF2";-0,592183805846038
"7523";"g.GO:0045944";"p.CCNB1";0,59208497316411
"26551";"g.TTC39A";"p.GO:0006366";0,591619165848606
"9118";"g.GO:0045893";"p.ESR1";-0,590872275045658
"24614";"g.GO:0016032";"p.TP53";0,590519404276784
"7408";"g.NTN4";"p.CCNB1";-0,590081576941174
"25141";"g.C4orf34";"p.GO:0000122";0,589493349428737
"6840";"g.GO:0046777";"p.CHEK2";0,588891588825297
"5918";"g.GO:0016032";"p.CDK1";0,588848592857624
"8920";"g.MED13L";"p.ESR1";0,587619589318888
"16416";"g.GO:0046777";"p.AKT1S1";0,587012271769736
"26549";"g.SLC43A3";"p.GO:0006366";-0,586695906794832
"2396";"g.FMNL2";"p.ASNS";0,585913288786056
"25307";"g.GO:0045944";"p.GO:0000122";-0,585672396634115
"27661";"g.STC2";"p.GO:0007165";0,585493173978255
"31166";"g.NCOA7";"p.GO:0045944";-0,585361848956029
"2433";"g.LMO4";"p.ASNS";0,583609779468602
"2341";"g.C4orf34";"p.ASNS";-0,583239489196502
"2445";"g.PREX1";"p.ASNS";-0,583166683578221
"6148";"g.GO:0018108";"p.CASP7";0,583143812424328
"4497";"g.PREX1";"p.BECN1";-0,582970468920754
"26510";"g.LRIG1";"p.GO:0006366";0,582672084199839
"14161";"g.KDM4B";"p.NOTCH1";-0,582578776695966
"10066";"g.ZNF552";"p.GATA3";0,582205807528204
